token,date,ip,question,response
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Sing in a band [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,REALISTIC [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,INVESTIGATIVE [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,ARTISTIC [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,SOCIAL [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,ENTERPRISING [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,CONVENTIONAL [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,STRONGLYLIKE [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,LIKE [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,UNSURE [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,DISLIKE [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,STRONGLYDISLIKE [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,jobzone1 [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,jobzone2 [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,jobzone3 [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,jobzone4 [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,jobzone5 [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,currentfuture [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,Explore [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,JZcareer [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,IPresultscareer [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,results [Back translation in English:],n
ktdrrp2014,2016-12-13 12:51:55,130.108.114.65,select [Back translation in English:],n
oliverminf,2016-10-10 18:32:55,24.6.130.17,Build kitchen cabinets [Back translation in English:],I do like builds the kitchen cabinets.
oliverminf,2016-10-10 18:32:55,24.6.130.17,Write books or plays [Back translation in English:],I am a writer for play and/or book. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,Play a musical instrument [Back translation in English:],"I do know how to use the music instrument such as drum, guitar, piano and etc."
oliverminf,2016-10-10 18:32:55,24.6.130.17,Teach an individual an exercise routine [Back translation in English:],I teach a person how to exercise. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,Develop a spreadsheet using computer software [Back translation in English:],"I am a  computer software developer, and I develops a spreadsheet program."
oliverminf,2016-10-10 18:32:55,24.6.130.17,Raise fish in a fish hatchery [Back translation in English:],"I am a fish farmer, I do breeding the fishes from eggs, to adult fishes."
oliverminf,2016-10-10 18:32:55,24.6.130.17,Conduct chemical experiments [Back translation in English:],I am a chemmist
oliverminf,2016-10-10 18:32:55,24.6.130.17,Study the movement of planets [Back translation in English:],I study the planets.
oliverminf,2016-10-10 18:32:55,24.6.130.17,Compose or arrange music [Back translation in English:],I am a music writer.
oliverminf,2016-10-10 18:32:55,24.6.130.17,Perform rehabilitation therapy [Back translation in English:],I am a physical therapist to help a person to recover their diagnosis. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,Operate a beauty salon or barber shop [Back translation in English:],I am an owner of a beauty salon shop.
oliverminf,2016-10-10 18:32:55,24.6.130.17,Load computer software into a large computer network [Back translation in English:],"I am an IT computer technician, my responsibility to installs the software on the computers."
oliverminf,2016-10-10 18:32:55,24.6.130.17,Operate a calculator [Back translation in English:],I do use a calculator.
oliverminf,2016-10-10 18:32:55,24.6.130.17,Assemble electronic parts [Back translation in English:],I install different electrical parts. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,Drive a truck to deliver packages to offices and homes [Back translation in English:],I am a truck driver and delivers packages either business or residential. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,Create special effects for movies [Back translation in English:],I produce special effects for movies. The effects that’s tricks people and think it is real but it is not and all is from computer. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,Start your own business [Back translation in English:],I am an owner of a business. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,Calculate the wages of employees [Back translation in English:],I do calculate the salary for the workers that work for me. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,Repair and install locks [Back translation in English:],I work with locks that needed to be repaired or installs new ones. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,Develop a way to better predict the weather [Back translation in English:],2I develops a better technology way to collect more accurate information related to weather. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,Work in a biology lab [Back translation in English:],I work at a biology lab.
oliverminf,2016-10-10 18:32:55,24.6.130.17,Perform jazz or tap dance [Back translation in English:],I am a Jazz and Tap dancer and gives performance to the audience. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,Help conduct a group therapy session [Back translation in English:],I run a therapy group.
oliverminf,2016-10-10 18:32:55,24.6.130.17,Represent a client in a lawsuit [Back translation in English:],I am a legal representative for clients related to any lawsuits.
oliverminf,2016-10-10 18:32:55,24.6.130.17,Market a new line of clothing [Back translation in English:],I  am sale marketing for a new clothes line and brings in the buyers. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,Set up and operate machines to make products [Back translation in English:],I operate a factory that produces a specific product. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,Invent a replacement for sugar [Back translation in English:],I  invented a new type of sugar to replace the old type of sugar. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,Do laboratory tests to identify diseases [Back translation in English:],I work at a lab test that performs ways to identify what type of diseases they are. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,Sing in a band [Back translation in English:],I am a singer of a band.
oliverminf,2016-10-10 18:32:55,24.6.130.17,REALISTIC [Back translation in English:],"What is realistic? The motivation to figure the solution that people likes to work with plants, animals, woods, tools, machines. Jobs  like that engineering, police, farmer and carpenters."
oliverminf,2016-10-10 18:32:55,24.6.130.17,INVESTIGATIVE [Back translation in English:],"What is investigative? People like to find facts, ideas, problem solving and reacts. Jobs that offers re; math, science and doctor."
oliverminf,2016-10-10 18:32:55,24.6.130.17,ARTISTIC [Back translation in English:],"What is artistic? A person that doesn’t like rules and like to be creative and flexibility- music and arts. Jobs that offers are; actors, music writer, choreography."
oliverminf,2016-10-10 18:32:55,24.6.130.17,SOCIAL [Back translation in English:],"What is social? A person enjoys help, teach and gives advice. Jobs that offers are; teacher, nurse, counselor and coach."
oliverminf,2016-10-10 18:32:55,24.6.130.17,ENTERPRISING [Back translation in English:],"What is enterprising? A person organizes, set up projects works. People lead the decision making. Jobs are what lawyer, owner a business, judge, and politician."
oliverminf,2016-10-10 18:32:55,24.6.130.17,CONVENTIONAL [Back translation in English:],"What is conventional? A person prefers work with that are stability, don’t like to lead, information are very detailed. Jobs that offers; secretary, banker and financial assessment."
oliverminf,2016-10-10 18:32:55,24.6.130.17,STRONGLYLIKE [Back translation in English:],Highly interested in.
oliverminf,2016-10-10 18:32:55,24.6.130.17,LIKE [Back translation in English:],Moderate like.
oliverminf,2016-10-10 18:32:55,24.6.130.17,UNSURE [Back translation in English:],Indecisive
oliverminf,2016-10-10 18:32:55,24.6.130.17,DISLIKE [Back translation in English:],I don't like
oliverminf,2016-10-10 18:32:55,24.6.130.17,STRONGLYDISLIKE [Back translation in English:],Strongly not interested in
oliverminf,2016-10-10 18:32:55,24.6.130.17,jobzone1 [Back translation in English:],"You don’t need so much of experience, range one week to three months of training to learn. A person might need either a high school diploma or GED.  Job that offer - a taxi driver, a construction worker or a waiter."
oliverminf,2016-10-10 18:32:55,24.6.130.17,jobzone2 [Back translation in English:],"You need some training or work experience, range from 2-3 months up to one year. You will need a high school diploma or GED. Jobs that offers. Forest firefighter, bank work or grocery."
oliverminf,2016-10-10 18:32:55,24.6.130.17,jobzone3 [Back translation in English:],"A person should have at least 1 to 2 years of experience and training from previous career.  A person will need to complete vocational school credits. A person need have an Associate degree.  Job that offer- food service manager, electrician, law firm secretary, insurance broker."
oliverminf,2016-10-10 18:32:55,24.6.130.17,jobzone4 [Back translation in English:],"A person must have many years of experience and trainings. A person need have a Bachelor of Arts, Bachelor of Science or Masters Degrees.  Jobs that offers-, Accountant, Sale manager, Teacher, Chemist."
oliverminf,2016-10-10 18:32:55,24.6.130.17,jobzone5 [Back translation in English:],"A person needs to have 5 years or more of experience in the field. Training are mandatory before starts the job. The business company will provide variety depth of training related to career position. A person needs to have a Masters, PhD or Law Degree to qualify. Jobs that offers- doctor, college professor or librarian."
oliverminf,2016-10-10 18:32:55,24.6.130.17,currentfuture [Back translation in English:],"There are choice between current and future. Current- measures the experiences and training that has completed and find a career that matches. Future- measure the expectation of career that need continue more training and experience. A person doesn’t need to be concerned about career, cost of money and complete the training. The most part right now is to learning about the career that might interests to you."
oliverminf,2016-10-10 18:32:55,24.6.130.17,Explore [Back translation in English:],The lists of five are for school training and experience. First- a little of school training experience. Second-some experience for school training. Third- have more experience for school training. Fourth- have a lot of experience for school training. Last- heavily experience for school training. Choose which suits your level of experience for the job zone that you want to focus on. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,JZcareer [Back translation in English:],How to choose a career; use the work zone range 1-5. Each work zone comes with list of jobs and requirements for training/school/experience. Purpose of work zone IP is to help a person to find a career that matches their interest. Can research more on information on certain career. 
oliverminf,2016-10-10 18:32:55,24.6.130.17,IPresultscareer [Back translation in English:],"You will see your list of IP career related to your IP work zone, click “next”."
oliverminf,2016-10-10 18:32:55,24.6.130.17,results [Back translation in English:],"Finally here’s the IP report on performance matches the career that meets the happiness and satisfaction. You will see lists; realistic, investigative, artistic, social, enterprising and conventional. You will notice high and low number on those lists. Higher number means it matches well. Click on each lists and it will expands with more information, read them thoroughly. Once your complete with that section, click “next”."
oliverminf,2016-10-10 18:32:55,24.6.130.17,select [Back translation in English:],"You have completed the learning about the work zone. Now what you can to do about it, the career that you like you can pursuit in this either now or in the future. It doesn’t matter when."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Build kitchen cabinets [Back translation in English:],Number one: KITCHEN CABINETS. I build kitchen cabinets. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Write books or plays [Back translation in English:],Number five: BOOKS or PLAYS. I write books or plays. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Play a musical instrument [Back translation in English:],"Number six: MUSIC INSTRUMENTS (such as drums, guitars, piano). I use those."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Teach an individual an exercise routine [Back translation in English:],Number seven: EXERCISE. I teach people how to exercise. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Develop a spreadsheet using computer software [Back translation in English:],Number 11: COMPUTER SOFTWARE. I develop spreadsheets for me to use. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Raise fish in a fish hatchery [Back translation in English:],"Number 14: FISH HATCHERY. I nurture, maintain and take care of breeding and raising fish."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Conduct chemical experiments [Back translation in English:],Number 15: CHEMIST. I experiment and work with different chemicals. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Study the movement of planets [Back translation in English:],Number 16: PLANETS. I study planets.
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Compose or arrange music [Back translation in English:],"Number 17: MUSIC. I create, write and arrange music."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Perform rehabilitation therapy [Back translation in English:],Number 20: PHYSICAL REHABILITATION. I help injured people with physical therapy and exercises to help them get well. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Operate a beauty salon or barber shop [Back translation in English:],Number 21: I run and manage a hair salon. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Load computer software into a large computer network [Back translation in English:],Number 23: COMPUTER TECHNICIAN. I work in IT and am responsible for software installation in computers. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Operate a calculator [Back translation in English:],Number 24: CALCULATOR. I use this. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Assemble electronic parts [Back translation in English:],Number 25: I work with different electrical parts and assemble them. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Drive a truck to deliver packages to offices and homes [Back translation in English:],Number 26: TRUCK DRIVER. I drive a truck that brings cargo for businesses or homes. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Create special effects for movies [Back translation in English:],"Number 29: I create special effects on the computer for the movies, such as making a huge water wave hit cars and they go flying, making it look real when it is not."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Start your own business [Back translation in English:],Number 33: I established and own my own business. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Calculate the wages of employees [Back translation in English:],Number 36: I calculate people's pay earnings. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Repair and install locks [Back translation in English:],Number 38: LOCKS. I repair and install locks. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Develop a way to better predict the weather [Back translation in English:],Number 39: WEATHER. I invent a better way to predict what weather looks like. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Work in a biology lab [Back translation in English:],Number 40: I work in a biology lab. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Perform jazz or tap dance [Back translation in English:],Number 42: I dance jazz or tap in front of an audience.
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Help conduct a group therapy session [Back translation in English:],Number 44: I run a therapy group. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Represent a client in a lawsuit [Back translation in English:],Number 45: I work as a legal representative for clients who are involved in lawsuits. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Market a new line of clothing [Back translation in English:],Number 46: I work in public relations for new clothes. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Set up and operate machines to make products [Back translation in English:],Number 49: I established and run machines that make very specific things. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Invent a replacement for sugar [Back translation in English:],Number 51: I invented a new kind of sugar to replace regular sugar. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Do laboratory tests to identify diseases [Back translation in English:],Number 52: I work in a lab that identifies new diseases. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Sing in a band [Back translation in English:],Number 53: I am part of a music band. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,REALISTIC [Back translation in English:],"What is REALISTIC? It means rolling back your sleeves and jumping in to find a solution to a problem that may arise. Those people can work with plants, animals, wood tools, and machinery. Occupations include engineering, mechanic, police officer, and farmer."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,INVESTIGATIVE [Back translation in English:],"What is INVESTIGATIVE? People like to look for facts and ideas. They like to think of answers to problems. Occupations include math, science, and medical fields."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,ARTISTIC [Back translation in English:],"What is ARTISTIC? Those people like to be creative and like art, music, and theater. They do not like rules, and prefer flexibility. Occupations include actor, songwriter, and choreographer."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,SOCIAL [Back translation in English:],"What is SOCIAL? People who are social enjoy helping, teaching or giving advice to people. Occupations include teacher, gym coach, nurse, counselor."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,ENTERPRISING [Back translation in English:],"What is ENTERPRISING? They are people who like to organize and set up projects to work on. Those people also lead and make the final decisions. Occupations include lawyer, business owner, judge, politician."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,CONVENTIONAL [Back translation in English:],"What is CONVENTIONAL? Those are people who like to follow directions or step-by-step guides that are routine. They do not want to lead, and like information to be precise. Occupations include secretary, bank worker, financial analyst."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,STRONGLYLIKE [Back translation in English:],I really strongly like this!
ineakeyert,2016-10-05 22:10:50,108.198.133.132,LIKE [Back translation in English:],I like this!
ineakeyert,2016-10-05 22:10:50,108.198.133.132,UNSURE [Back translation in English:],I'm not sure/undecided. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,DISLIKE [Back translation in English:],I don't like this. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,STRONGLYDISLIKE [Back translation in English:],I really strongly dislike this. 
ineakeyert,2016-10-05 22:10:50,108.198.133.132,jobzone1 [Back translation in English:],"JOB ZONE ONE: Not much work experience is needed. Average job training can be anywhere from one week to three months. A HS diploma or a GED may be needed. Occupations include taxi driver, construction worker, waitress."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,jobzone2 [Back translation in English:],"JOB ZONE TWO: Some job experience is needed. The average job training may take anywhere from two-three months to one year, done on the job. A HS diploma or GED is needed. Occupations include forest firefighter, salesperson, bank worker."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,jobzone3 [Back translation in English:],"JOB ZONE THREE: A higher level of experience is needed. Training can take from one to two years, while on the job. Completion of vocational school, previous job experience or an AA degree is required. Occupations include food service manager, electrician, law firm secretary, insurance salesperson."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,jobzone4 [Back translation in English:],"JOB ZONE FOUR: A lot of experience is required. Many years of training is required, while on the job. A BA, BS or Masters degree is required. Occupations include accountant, store manager, teacher, explorer."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,jobzone5 [Back translation in English:],"JOB ZONE FIVE: An incredible amount of experience is required, including intensive study of at least five years. Training is required before starting work. Businesses or corporations will also provide training as needed. At least a MA, PhD or a law degree is required. Occupations include doctor, college professor, librarian."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,currentfuture [Back translation in English:],"You will need to pick two job zones: one that applies to you currently, and one where you would like to see yourself in the future. Pick the job zone where your schooling, experience and training fits the best currently. Then, pick the future job zone where you feel your current training, experience and schooling will fit best. It does not matter what current job zone you are in, or worry about how to get training, experience or money for school. Now is the time to learn and explore more about the job you are interested in."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,Explore [Back translation in English:],"You have seen five different job zones. Here is a summary for all five.
Job Zone 1: not a lot of schooling, training and experience is needed. 
Job Zone 2:  some schooling, training and experience is needed. 
Job Zone 3: more schooling, training and experience is needed. 
Job Zone 4: a lot of schooling, training and experience is needed. 
Job Zone 5: intensive schooling, training and experience is needed. 
Pick the one that fits you the best, and then click NEXT to proceed with the survey."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,JZcareer [Back translation in English:],"So how do you choose a job? The Job Zones (1 through 5) has two categories: one on the list of duties needed to do, and one on the schooling, training and experience required. Both the Job Zone and IP combined will help you find the job that fits you the best, and you can learn and explore about this job."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,IPresultscareer [Back translation in English:],Your IP now has shown you the results of the careers you are interested in. You will also see this in your Job Zone. Click NEXT to proceed with the survey.
ineakeyert,2016-10-05 22:10:50,108.198.133.132,results [Back translation in English:],"Finally! Your IP report is here. They will show you which careers fit you the best that will lead you to have a happy, satisfied life. You'll see scores for REALISTIC, INVESTIGATIVE, ARTISTIC, SOCIAL, ENTERPRISING, and CONVENTIONAL. The higher the score is, the best it fits you. Please go ahead and click on each tab. More information will be expanded where you can read more about the type of careers in each category. Once you are finished reading, click NEXT to proceed further."
ineakeyert,2016-10-05 22:10:50,108.198.133.132,select [Back translation in English:],"Now that you've learned more about Job Zones, what can you do next? It doesn't matter if it applies to your current situation, or what you'd like to do in the future. Go ahead and select what you'd like to do."
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Build kitchen cabinets [Back translation in English:],#1:  I build kitchen cabinets.
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Write books or plays [Back translation in English:],#5.  I want to write books of plays.
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Play a musical instrument [Back translation in English:],"#6.  I play musical instruments like drums, guitar, or piano."
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Teach an individual an exercise routine [Back translation in English:],#7.  I teach people how to exercise.  
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Develop a spreadsheet using computer software [Back translation in English:],#11.  I use computer software to develop spreadsheets.  
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Raise fish in a fish hatchery [Back translation in English:],"#14.  I manage a fish farm - putting in eggs, feeding, and growing fish."
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Conduct chemical experiments [Back translation in English:],#15.  I conduct chemical experiments using test tubes.  
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Study the movement of planets [Back translation in English:],#16.  I study planets.
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Compose or arrange music [Back translation in English:],"#17.  I write, compose, and arrange music."
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Perform rehabilitation therapy [Back translation in English:],#20.  I rehabilitate people whose bodies hurt by giving them exercises and treatments to help them recover and improve.  
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Operate a beauty salon or barber shop [Back translation in English:],"#21.  I manage a salon where people can get their hair cut, washed, or styled."
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Load computer software into a large computer network [Back translation in English:],#23.  I'm a computer technician or IT.  my responsibility is to install software in computers.  
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Operate a calculator [Back translation in English:],#24.  I use a calculator.
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Assemble electronic parts [Back translation in English:],#25.  I assemble electrical parts.  
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Drive a truck to deliver packages to offices and homes [Back translation in English:],#26.  I drive a truck to deliver boxes to businesses or homes.  
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Create special effects for movies [Back translation in English:],"#29.  I create special effects for movies. Special effects, what does that mean?  For example:  two cars driving on a road are swamped by water and swept away.  it looks real but isn't - I use computer to make it look real."
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Start your own business [Back translation in English:],#33.  I set up my own business.
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Calculate the wages of employees [Back translation in English:],#36.  I figure out (calculate) how much employees who work for me earn.  
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Repair and install locks [Back translation in English:],#38.  I repair and install locks.  
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Develop a way to better predict the weather [Back translation in English:],#39.  I invent better ways to predict what the weather will look like.  
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Work in a biology lab [Back translation in English:],#40.  I work in a biology lab.
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Perform jazz or tap dance [Back translation in English:],#42.  I dance jazz or tap for live audiences.  
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Help conduct a group therapy session [Back translation in English:],#44.  I help run a therapy group.
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Represent a client in a lawsuit [Back translation in English:],"#45.  I work with clients who are involved in lawsuits, whether they are suing someone or being sued.  I help by providing legal representation."
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Market a new line of clothing [Back translation in English:],"#46.  Many new clothes are designed, ready to sell, and need customers.  My job is to advertise new designer clothing to attract customers."
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Set up and operate machines to make products [Back translation in English:],#49.  I set up and operate machines that make specific things.  
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Invent a replacement for sugar [Back translation in English:],#51.  i invented a new sugar substitute.  
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Do laboratory tests to identify diseases [Back translation in English:],#52.  I work in a lab conducting tests to identify different kinds of diseases.  
nadperhyss,2016-10-09 15:01:54,67.170.229.207,Sing in a band [Back translation in English:],#53.  I sing in a band.  
nadperhyss,2016-10-09 15:01:54,67.170.229.207,REALISTIC [Back translation in English:],"Realistic: what does that mean?  work that involves figuring out how to solve problems.  These people like working with plants, animals, wood, tools, machines.  Jobs like engineering, mechanics, police, farmers."
nadperhyss,2016-10-09 15:01:54,67.170.229.207,INVESTIGATIVE [Back translation in English:],"Investigative means seeking facts, ideas, problems, thinking, and finding answers.  Examples of these jobs are math, science, or doctor."
nadperhyss,2016-10-09 15:01:54,67.170.229.207,ARTISTIC [Back translation in English:],"Artistic means creativity.  likes art, music, theater.  dislikes rules and likes flexibility.  Work is actor, music composition, art, or dance."
nadperhyss,2016-10-09 15:01:54,67.170.229.207,SOCIAL [Back translation in English:],"Social means enjoys helping, teaching, or counseling people.  examples of jobs are teachers, exercise coach, nurse, or counselor."
nadperhyss,2016-10-09 15:01:54,67.170.229.207,ENTERPRISING [Back translation in English:],"Enterprising means likes organizing and setting up work projects, leading people, making decisions.  Examples of jobs are lawyer, business owner, judge, politician."
nadperhyss,2016-10-09 15:01:54,67.170.229.207,CONVENTIONAL [Back translation in English:],"Conventional means prefers working with plans, procedures, and routines.  Doesn't want to lead, wants detailed information.  Examples of jobs are secretary, bank employee, economist."
nadperhyss,2016-10-09 15:01:54,67.170.229.207,STRONGLYLIKE [Back translation in English:],Likes very much
nadperhyss,2016-10-09 15:01:54,67.170.229.207,LIKE [Back translation in English:],like
